,RXDDRGID,RXDDRUG,RXDINGFL,RXDDCI1A,RXDDCI1B,RXDDCI1C,RXDDCI2A,RXDDCI2B,RXDDCI2C,RXDDCI3A,RXDDCI3B,RXDDCI3C,RXDDCI4A,RXDDCI4B,RXDDCI4C,RXDICI1A,RXDICI1B,RXDICI1C,RXDICI2A,RXDICI2B,RXDICI2C,RXDICI3A,RXDICI3B,RXDICI3C,RXDICI4A,RXDICI4B,RXDICI4C,RXDICI5A,RXDICI5B,RXDICI5C,RXDICI6A,RXDICI6B,RXDICI6C,RXDDCN1A,RXDDCN1B,RXDDCN1C,RXDDCN2A,RXDDCN2B,RXDDCN2C,RXDDCN3A,RXDDCN3B,RXDDCN3C,RXDDCN4A,RXDDCN4B,RXDDCN4C,RXDICN1A,RXDICN1B,RXDICN1C,RXDICN2A,RXDICN2B,RXDICN2C,RXDICN3A,RXDICN3B,RXDICN3C,RXDICN4A,RXDICN4B,RXDICN4C,RXDICN5A,RXDICN5B,RXDICN5C,RXDICN6A,RXDICN6B,RXDICN6C
10,b'a11518',b'CONJUGATED ESTROGENS; PROGESTERONE',2.0,97.0,101.0,186.0,,,,,,,,,,97.0,101.0,183.0,97.0,101.0,185.0,,,,,,,,,,,,,b'HORMONES/HORMONE MODIFIERS',b'SEX HORMONES',b'SEX HORMONE COMBINATIONS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'HORMONES/HORMONE MODIFIERS',b'SEX HORMONES',b'ESTROGENS',b'HORMONES/HORMONE MODIFIERS',b'SEX HORMONES',b'PROGESTINS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
11,b'a11692',b'AMYLASE; LIPASE; PROTEASE',2.0,87.0,91.0,,,,,,,,,,,87.0,91.0,,87.0,96.0,,,,,,,,,,,,,,b'GASTROINTESTINAL AGENTS',b'DIGESTIVE ENZYMES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'GASTROINTESTINAL AGENTS',b'DIGESTIVE ENZYMES',b'',b'GASTROINTESTINAL AGENTS',b'MISCELLANEOUS GI AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
12,b'a51865',b'DIPHENIDOL',1.0,57.0,65.0,198.0,,,,,,,,,,57.0,65.0,198.0,,,,,,,,,,,,,,,,b'CENTRAL NERVOUS SYSTEM AGENTS',b'ANTIEMETIC/ANTIVERTIGO AGENTS',b'MISCELLANEOUS ANTIEMETICS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CENTRAL NERVOUS SYSTEM AGENTS',b'ANTIEMETIC/ANTIVERTIGO AGENTS',b'MISCELLANEOUS ANTIEMETICS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
13,b'a52024',b'ENCAINIDE',1.0,40.0,46.0,,,,,,,,,,,40.0,46.0,,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'ANTIARRHYTHMIC AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'ANTIARRHYTHMIC AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
14,b'a52060',b'ERYTHRITYL TETRANITRATE',1.0,40.0,53.0,,,,,,,,,,,40.0,53.0,,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'VASODILATORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'VASODILATORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
15,b'a52445',b'GLUTETHIMIDE',1.0,57.0,67.0,70.0,,,,,,,,,,57.0,67.0,70.0,,,,,,,,,,,,,,,,b'CENTRAL NERVOUS SYSTEM AGENTS',"b'ANXIOLYTICS, SEDATIVES, AND HYPNOTICS'","b'MISCELLANEOUS ANXIOLYTICS, SEDATIVES AND HYPNOTICS'",b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CENTRAL NERVOUS SYSTEM AGENTS',"b'ANXIOLYTICS, SEDATIVES, AND HYPNOTICS'","b'MISCELLANEOUS ANXIOLYTICS, SEDATIVES AND HYPNOTICS'",b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
16,b'a53990',b'NYLIDRIN HYDROCHLORIDE',1.0,40.0,53.0,,,,,,,,,,,40.0,53.0,,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'VASODILATORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'VASODILATORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
17,b'a54115',b'OXYGEN',1.0,105.0,110.0,,,,,,,,,,,105.0,110.0,,,,,,,,,,,,,,,,,b'MISCELLANEOUS AGENTS',b'MISCELLANEOUS UNCATEGORIZED AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'MISCELLANEOUS AGENTS',b'MISCELLANEOUS UNCATEGORIZED AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
18,b'a54760',b'PRAZEPAM',1.0,57.0,67.0,69.0,,,,,,,,,,57.0,67.0,69.0,,,,,,,,,,,,,,,,b'CENTRAL NERVOUS SYSTEM AGENTS',"b'ANXIOLYTICS, SEDATIVES, AND HYPNOTICS'",b'BENZODIAZEPINES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CENTRAL NERVOUS SYSTEM AGENTS',"b'ANXIOLYTICS, SEDATIVES, AND HYPNOTICS'",b'BENZODIAZEPINES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
19,b'a55465',b'STANNOUS FLUORIDE',1.0,133.0,146.0,,,,,,,,,,,133.0,146.0,,,,,,,,,,,,,,,,,b'TOPICAL AGENTS',b'MOUTH AND THROAT PRODUCTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'TOPICAL AGENTS',b'MOUTH AND THROAT PRODUCTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
20,b'a55548',b'SULFAMETHAZINE',1.0,1.0,15.0,,,,,,,,,,,1.0,15.0,,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'SULFONAMIDES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'SULFONAMIDES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
21,b'a55570',b'SULFAPYRIDINE',1.0,1.0,15.0,,,,,,,,,,,1.0,15.0,,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'SULFONAMIDES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'SULFONAMIDES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
22,b'a55820',b'THYROGLOBULIN',1.0,97.0,103.0,,,,,,,,,,,97.0,103.0,,,,,,,,,,,,,,,,,b'HORMONES/HORMONE MODIFIERS',b'THYROID HORMONES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'HORMONES/HORMONE MODIFIERS',b'THYROID HORMONES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
23,b'a56545',b'NITRAZEPAM',1.0,57.0,67.0,69.0,,,,,,,,,,57.0,67.0,69.0,,,,,,,,,,,,,,,,b'CENTRAL NERVOUS SYSTEM AGENTS',"b'ANXIOLYTICS, SEDATIVES, AND HYPNOTICS'",b'BENZODIAZEPINES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CENTRAL NERVOUS SYSTEM AGENTS',"b'ANXIOLYTICS, SEDATIVES, AND HYPNOTICS'",b'BENZODIAZEPINES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
24,b'a57014',b'ERYTHROPOIETIN',1.0,28.0,36.0,,,,,,,,,,,28.0,36.0,,,,,,,,,,,,,,,,,b'BIOLOGICALS',b'ERYTHROPOIESIS-STIMULATING AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'BIOLOGICALS',b'ERYTHROPOIESIS-STIMULATING AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
25,b'a59812',b'DOMPERIDONE',1.0,57.0,65.0,198.0,,,,,,,,,,57.0,65.0,198.0,,,,,,,,,,,,,,,,b'CENTRAL NERVOUS SYSTEM AGENTS',b'ANTIEMETIC/ANTIVERTIGO AGENTS',b'MISCELLANEOUS ANTIEMETICS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CENTRAL NERVOUS SYSTEM AGENTS',b'ANTIEMETIC/ANTIVERTIGO AGENTS',b'MISCELLANEOUS ANTIEMETICS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
26,b'a70010',b'SEROTONIN',1.0,242.0,249.0,209.0,,,,,,,,,,242.0,249.0,209.0,,,,,,,,,,,,,,,,b'PSYCHOTHERAPEUTIC AGENTS',b'ANTIDEPRESSANTS',b'TRICYCLIC ANTIDEPRESSANTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'PSYCHOTHERAPEUTIC AGENTS',b'ANTIDEPRESSANTS',b'TRICYCLIC ANTIDEPRESSANTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
27,b'a70248',b'ESTRIOL',1.0,97.0,101.0,183.0,,,,,,,,,,97.0,101.0,183.0,,,,,,,,,,,,,,,,b'HORMONES/HORMONE MODIFIERS',b'SEX HORMONES',b'ESTROGENS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'HORMONES/HORMONE MODIFIERS',b'SEX HORMONES',b'ESTROGENS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
28,b'a70444',b'CINNARIZINE',1.0,122.0,123.0,,,,,,,,,,,122.0,123.0,,,,,,,,,,,,,,,,,b'RESPIRATORY AGENTS',b'ANTIHISTAMINES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'RESPIRATORY AGENTS',b'ANTIHISTAMINES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
29,b'a70491',b'HYOSCYNAMINE SULFATE',1.0,87.0,355.0,89.0,,,,,,,,,,87.0,355.0,89.0,,,,,,,,,,,,,,,,b'GASTROINTESTINAL AGENTS',b'FUNCTIONAL BOWEL DISORDER AGENTS',b'ANTICHOLINERGICS/ANTISPASMODICS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'GASTROINTESTINAL AGENTS',b'FUNCTIONAL BOWEL DISORDER AGENTS',b'ANTICHOLINERGICS/ANTISPASMODICS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
30,b'a70573',b'PENTAERYTHRITOL TETRANITRATE',1.0,40.0,53.0,,,,,,,,,,,40.0,53.0,,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'VASODILATORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'VASODILATORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
31,b'a70987',b'SQUARIC ACID',1.0,105.0,110.0,,,,,,,,,,,105.0,110.0,,,,,,,,,,,,,,,,,b'MISCELLANEOUS AGENTS',b'MISCELLANEOUS UNCATEGORIZED AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'MISCELLANEOUS AGENTS',b'MISCELLANEOUS UNCATEGORIZED AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
32,b'a71066',b'DEFLAZACORT',1.0,97.0,98.0,301.0,,,,,,,,,,97.0,98.0,301.0,,,,,,,,,,,,,,,,b'HORMONES/HORMONE MODIFIERS',b'ADRENAL CORTICAL STEROIDS',b'GLUCOCORTICOIDS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'HORMONES/HORMONE MODIFIERS',b'ADRENAL CORTICAL STEROIDS',b'GLUCOCORTICOIDS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
33,b'c00001',b'ANTI-INFECTIVES - UNSPECIFIED',5.397605346934028e-79,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
34,b'c00004',b'ANTIFUNGALS - UNSPECIFIED',5.397605346934028e-79,1.0,4.0,,,,,,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'ANTIFUNGALS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'ANTIFUNGALS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
35,b'c00017',b'URINARY ANTI-INFECTIVES - UNSPECIFIED',5.397605346934028e-79,1.0,17.0,,,,,,,,,,,1.0,17.0,,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'URINARY ANTI-INFECTIVES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'URINARY ANTI-INFECTIVES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
36,b'c00019',b'ANTIHYPERLIPIDEMIC AGENTS - UNSPECIFIED',5.397605346934028e-79,358.0,19.0,,,,,,,,,,,358.0,19.0,,,,,,,,,,,,,,,,,b'METABOLIC AGENTS',b'ANTIHYPERLIPIDEMIC AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'METABOLIC AGENTS',b'ANTIHYPERLIPIDEMIC AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
37,b'c00020',b'ANTINEOPLASTICS - UNSPECIFIED',5.397605346934028e-79,20.0,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,b'ANTINEOPLASTICS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTINEOPLASTICS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
38,b'c00039',b'MISCELLANEOUS BIOLOGICALS - UNSPECIFIED',5.397605346934028e-79,254.0,39.0,,,,,,,,,,,254.0,39.0,,,,,,,,,,,,,,,,,b'IMMUNOLOGIC AGENTS',b'MISCELLANEOUS BIOLOGICALS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'IMMUNOLOGIC AGENTS',b'MISCELLANEOUS BIOLOGICALS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
39,b'c00040',b'CARDIOVASCULAR AGENTS - UNSPECIFIED',5.397605346934028e-79,40.0,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
40,b'c00047',b'BETA-ADRENERGIC BLOCKING AGENTS - UNSPECIFIED',5.397605346934028e-79,40.0,47.0,,,,,,,,,,,40.0,47.0,,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'BETA-ADRENERGIC BLOCKING AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'BETA-ADRENERGIC BLOCKING AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
41,b'c00049',b'DIURETICS - UNSPECIFIED',5.397605346934028e-79,40.0,49.0,,,,,,,,,,,40.0,49.0,,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'DIURETICS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'DIURETICS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
42,b'c00055',b'ANTIHYPERTENSIVE COMBINATIONS - UNSPECIFIED',5.397605346934028e-79,40.0,55.0,,,,,,,,,,,40.0,55.0,,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'ANTIHYPERTENSIVE COMBINATIONS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'ANTIHYPERTENSIVE COMBINATIONS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
43,b'c00057',b'CENTRAL NERVOUS SYSTEM AGENTS - UNSPECIFIED',5.397605346934028e-79,57.0,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,b'CENTRAL NERVOUS SYSTEM AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CENTRAL NERVOUS SYSTEM AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
44,b'c00058',b'ANALGESICS - UNSPECIFIED',5.397605346934028e-79,57.0,58.0,,,,,,,,,,,57.0,58.0,,,,,,,,,,,,,,,,,b'CENTRAL NERVOUS SYSTEM AGENTS',b'ANALGESICS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CENTRAL NERVOUS SYSTEM AGENTS',b'ANALGESICS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
45,b'c00059',b'MISCELLANEOUS ANALGESICS - UNSPECIFIED',5.397605346934028e-79,57.0,58.0,59.0,,,,,,,,,,57.0,58.0,59.0,,,,,,,,,,,,,,,,b'CENTRAL NERVOUS SYSTEM AGENTS',b'ANALGESICS',b'MISCELLANEOUS ANALGESICS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CENTRAL NERVOUS SYSTEM AGENTS',b'ANALGESICS',b'MISCELLANEOUS ANALGESICS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
46,b'c00061',b'NONSTEROIDAL ANTI-INFLAMMATORY AGENTS - UNSPECIFIED',5.397605346934028e-79,57.0,58.0,61.0,,,,,,,,,,57.0,58.0,61.0,,,,,,,,,,,,,,,,b'CENTRAL NERVOUS SYSTEM AGENTS',b'ANALGESICS',b'NONSTEROIDAL ANTI-INFLAMMATORY AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CENTRAL NERVOUS SYSTEM AGENTS',b'ANALGESICS',b'NONSTEROIDAL ANTI-INFLAMMATORY AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
47,b'c00067',"b'ANXIOLYTICS, SEDATIVES, AND HYPNOTICS - UNSPECIFIED'",5.397605346934028e-79,57.0,67.0,,,,,,,,,,,57.0,67.0,,,,,,,,,,,,,,,,,b'CENTRAL NERVOUS SYSTEM AGENTS',"b'ANXIOLYTICS, SEDATIVES, AND HYPNOTICS'",b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CENTRAL NERVOUS SYSTEM AGENTS',"b'ANXIOLYTICS, SEDATIVES, AND HYPNOTICS'",b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
48,b'c00071',b'CNS STIMULANTS - UNSPECIFIED',5.397605346934028e-79,57.0,71.0,,,,,,,,,,,57.0,71.0,,,,,,,,,,,,,,,,,b'CENTRAL NERVOUS SYSTEM AGENTS',b'CNS STIMULANTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CENTRAL NERVOUS SYSTEM AGENTS',b'CNS STIMULANTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
49,b'c00073',b'MUSCLE RELAXANTS - UNSPECIFIED',5.397605346934028e-79,57.0,73.0,,,,,,,,,,,57.0,73.0,,,,,,,,,,,,,,,,,b'CENTRAL NERVOUS SYSTEM AGENTS',b'MUSCLE RELAXANTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CENTRAL NERVOUS SYSTEM AGENTS',b'MUSCLE RELAXANTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
